να	να	να particle<br>forms subjunctive<br>forms gerund<br><br>να interjection<br>Lo!
θα	θα	θα particle<br>forms future tenses
δεν	δεν	δε(ν) particle<br>not (with indicative verbs)
μην	μην	μη(ν) particle<br>not (with subjunctive verbs)
δύο	δύο	δύο<br>two
τρεις	τρεις	τρεις<br>three
δεη	ΔΕΗ	ΔΕΗ acronym<br>Δημόσια Επιχείρηση Ηλεκτρισμού<br>Public Power Company<br>Greece's largest electric company
λονδίνο	Λονδίνο	Λονδίνο noun n<br>London
αιγαίο	Αιγαίο	Αιγαίο noun n<br>Aegean Sea
ελλάς	Ελλάς	Ελλάς noun f<br>Greece
δημόσιος	δημόσιος	δημόσιος adj<br>public
πολίτης	πολίτης	πολίτις noun m (pl πολιτές, f πολίτις)<br>citizen<br>civilian (not in the church or army)
αθήνα	Αθήνα	Αθήνα noun f<br>Athens
έλληνας	Έλληνας	Έλληνας noun m (pl Έλληνες, f Ελληνίδα)<br>a Greek person
πρόκειται	πρόκειται	πρόκειται για(impersonal)<br>it's about<br><br>πρόκειται να<br>be going to<br>are probably going to
ζώ	ζω	ζω (έζησα)<br>live<br>(figurate) live on, endure<br>(transitive) support, sustain
